vin,company,datehour,chargingpower,remainingelectricalrange,enginestatus,geolocation,mileage,speed
VjamRugCrs8356684,CarRent,14/07/2023 19:08:20,125.9716957,298.445575,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:08:39,125.9265936,298.3522626,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:08:48,125.8853449,308.5750802,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:08:57,125.861515,348.7650308,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:09:17,125.8225822,363.8146049,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:09:34,125.7818995,298.6318951,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:09:49,125.7673353,277.8008792,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:09:58,125.7502532,298.5387233,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:10:11,125.744829,351.6967523,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:10:17,125.744218,356.2482754,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:10:26,125.7310332,283.4357772,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:10:40,125.6966217,271.4240529,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:10:58,125.6906522,324.9619977,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:11:11,125.6705487,344.3027897,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:11:29,125.6469907,315.3109654,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:11:47,125.6449184,276.894652,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:12:05,125.6180556,348.8580812,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:12:18,125.6165256,334.5391116,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:12:24,125.612931,353.4217631,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:12:34,125.61267,326.4266555,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:12:40,125.6124805,344.2097004,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:12:58,125.6118246,302.8195467,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:13:17,125.6110607,269.3300486,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:13:22,125.5910438,271.8878092,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:13:29,125.5887958,357.3420099,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:13:48,125.5686797,291.7931977,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:14:06,125.5668221,302.1732944,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:14:12,125.5588156,293.058634,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:14:19,125.5529909,326.1483287,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:14:24,125.5324145,312.4991769,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:14:33,125.5267731,265.7781958,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:14:43,125.5119313,306.8387729,OFF,"8.54007657760685, 13.3153550469873",92575,0
VjamRugCrs8356684,CarRent,14/07/2023 19:14:59,125.5099528,346.5742227,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:15:18,125.4942114,323.8697724,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:15:37,125.4934337,304.0034491,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:15:49,125.4905533,340.924447,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:16:03,125.4812329,340.1886241,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:16:14,125.4778942,323.7768138,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:16:19,125.4651593,283.3426431,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:16:24,125.4542856,305.9238457,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:16:40,125.4511729,270.2383796,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:16:54,125.4504781,293.8799676,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:17:05,125.4417302,346.7599337,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:17:13,125.4266935,315.4964505,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:17:28,125.422981,362.8161949,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:17:40,125.4182405,354.3307882,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:17:53,125.4044589,277.8937714,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:18:00,125.3785905,306.5609022,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:18:18,125.371075,284.4373815,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:18:31,125.3591381,315.2178936,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:18:51,125.3588288,348.9509396,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:19:02,125.3442169,291.7001839,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:19:11,125.3354588,344.3956308,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:19:18,125.3318214,341.2917212,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:19:35,125.3294571,334.6319482,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:19:46,125.3116849,357.4348334,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:20:03,125.2984802,299.8994816,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:20:14,125.2689461,357.7130982,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:20:32,125.2680259,346.6670139,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:20:46,125.2623064,325.2384262,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:20:55,125.2576013,298.1664506,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:21:01,125.253594,316.2239098,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:21:13,125.2487153,302.6338417,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:21:29,125.2482989,363.628783,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:21:34,125.247899,271.6094679,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:21:47,125.2474236,287.3403567,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:21:52,125.246594,294.8825018,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:22:03,125.2442628,304.4655965,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:22:13,125.2432831,357.5276062,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:22:24,125.2333677,264.1300313,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:22:30,125.2246466,355.0625826,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:22:49,125.2122324,325.331176,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:22:57,125.208135,344.4883776,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:23:08,125.2002681,268.4123719,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:23:15,125.1965238,326.2410669,OFF,"8.54007657760685, 13.3153550469873",92580,0
cLrVrQDRWs0069145,InsuranceCar,14/07/2023 19:23:31,125.1965178,,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:23:43,125.1884875,265.870928,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:24:01,125.1815661,342.9260106,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:24:11,125.1800702,358.0772026,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:24:22,125.1764611,264.3148287,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:24:27,125.1693148,271.7947788,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:24:40,125.1686378,289.4330459,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:24:54,125.1528282,283.6209737,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:25:07,125.1512831,265.2286709,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:25:16,125.1457525,358.9066608,OFF,"8.54007657760685, 13.3153550469873",92575,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:25:24,125.1453346,357.6203064,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:25:32,125.1424072,351.7894504,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:25:45,125.1324915,304.6509554,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:25:53,125.1277353,348.3992181,OFF,"8.54007657760685, 13.3153550469873",92580,0
VjamRugCrs8356684,CarRent,14/07/2023 19:26:09,125.1240855,263.9450088,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:26:21,125.117162,314.8492383,OFF,"8.54007657760685, 13.3153550469873",92580,0
kGnkdVNDSU7115538,InsuranceCar,14/07/2023 19:26:36,125.1096699,265.5042021,OFF,"8.54007657760685, 13.3153550469873",92580,0
RzIEMxvoHd6229617,CarRent,14/07/2023 19:26:45,125.1070641,272.986036,OFF,"8.54007657760685, 13.3153550469873",92580,0
